City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
367,Riyadh,SA,24.6877,46.7219,60.94,50,95,12.03,overcast clouds
368,Auki,SB,-8.7676,160.7034,77.41,89,100,5.75,light rain
369,Norman,US,35.2226,-97.4395,28.83,86,0,4.61,clear sky
370,Seymchan,RU,62.8833,152.4333,-28.37,97,100,2.48,overcast clouds
371,Wanaka,NZ,-44.7,169.15,62.11,67,85,1.99,overcast clouds
372,Lyambir,RU,54.2817,45.1249,12.81,86,97,14.18,overcast clouds
373,Vallenar,CL,-28.5708,-70.7581,74.16,52,0,4.9,clear sky
374,Jiquipilas,MX,16.6667,-93.65,66.29,91,100,11.32,light rain
375,Moron,AR,-34.6534,-58.6198,83.97,37,7,7.05,clear sky
376,Asyut,EG,27.181,31.1837,64.18,38,31,9.24,scattered clouds
377,Roald,NO,62.5833,6.1333,40.75,75,95,9.22,overcast clouds
378,Nizwa,OM,22.9333,57.5333,69.35,37,79,0.94,broken clouds
379,Port Elizabeth,ZA,-33.918,25.5701,77.31,69,2,4.0,clear sky
380,Solano,US,38.2333,-121.9511,60.1,87,100,4.18,overcast clouds
381,Batemans Bay,AU,-35.7167,150.1833,65.1,95,19,4.52,few clouds
382,Belo Jardim,BR,-8.3356,-36.4242,87.53,39,6,11.21,clear sky
383,Mayo,US,38.8876,-76.5119,47.95,78,100,9.22,overcast clouds
384,Khani,GE,41.9563,42.9566,36.97,70,12,6.49,few clouds
385,Cockburn Town,TC,21.4612,-71.1419,77.07,77,53,18.41,broken clouds
386,Lawton,US,34.6087,-98.3903,30.07,79,0,0.0,clear sky
387,Aden,YE,12.7794,45.0367,78.21,68,98,16.2,overcast clouds
388,Mana,GF,5.6592,-53.7767,79.72,76,100,10.8,overcast clouds
389,Clarence Town,AU,-32.5833,151.7833,72.86,92,100,4.83,overcast clouds
390,Bereda,ES,43.2686,-7.5406,59.41,91,87,4.47,overcast clouds
